It: 16500, Loss: 3.454e-01, Loss_u: 6.294e-02, Loss_r: 2.825e-01, Time: 0.04
It: 16600, Loss: 1.259e+00, Loss_u: 3.485e-01, Loss_r: 9.108e-01, Time: 0.04
It: 16700, Loss: 6.375e-01, Loss_u: 1.894e-01, Loss_r: 4.481e-01, Time: 0.04
It: 16800, Loss: 6.044e-01, Loss_u: 3.174e-01, Loss_r: 2.870e-01, Time: 0.07
It: 16900, Loss: 8.378e-01, Loss_u: 1.842e-01, Loss_r: 6.537e-01, Time: 0.04
It: 17000, Loss: 5.562e-01, Loss_u: 1.749e-01, Loss_r: 3.813e-01, Time: 0.06
It: 17100, Loss: 4.126e-01, Loss_u: 1.113e-01, Loss_r: 3.013e-01, Time: 0.04
It: 17200, Loss: 3.816e-01, Loss_u: 8.569e-02, Loss_r: 2.959e-01, Time: 0.04
It: 17300, Loss: 3.259e-01, Loss_u: 1.289e-01, Loss_r: 1.971e-01, Time: 0.05
It: 17400, Loss: 1.727e+00, Loss_u: 1.038e+00, Loss_r: 6.886e-01, Time: 0.04
It: 17500, Loss: 7.291e-01, Loss_u: 1.111e-01, Loss_r: 6.180e-01, Time: 0.05
It: 17600, Loss: 4.946e-01, Loss_u: 8.589e-02, Loss_r: 4.087e-01, Time: 0.04
It: 17700, Loss: 4.530e-01, Loss_u: 9.361e-02, Loss_r: 3.594e-01, Time: 0.04
It: 17800, Loss: 6.727e-01, Loss_u: 2.783e-01, Loss_r: 3.944e-01, Time: 0.13
It: 17900, Loss: 3.088e-01, Loss_u: 8.292e-02, Loss_r: 2.259e-01, Time: 0.05
It: 18000, Loss: 4.898e-01, Loss_u: 2.170e-01, Loss_r: 2.727e-01, Time: 0.05
It: 18100, Loss: 8.808e-01, Loss_u: 1.391e-01, Loss_r: 7.417e-01, Time: 0.05
It: 18200, Loss: 5.507e-01, Loss_u: 3.115e-01, Loss_r: 2.392e-01, Time: 0.04
It: 18300, Loss: 3.082e-01, Loss_u: 9.518e-02, Loss_r: 2.130e-01, Time: 0.04
