It: 1330, Loss: 4.524e-02, Loss_u: 4.157e-02, Loss_r: 3.675e-03, Time: 0.06
It: 1340, Loss: 5.849e-02, Loss_u: 5.270e-02, Loss_r: 5.790e-03, Time: 0.07
It: 1350, Loss: 5.099e-02, Loss_u: 4.614e-02, Loss_r: 4.855e-03, Time: 0.25
It: 1360, Loss: 5.185e-02, Loss_u: 4.624e-02, Loss_r: 5.610e-03, Time: 0.18
It: 1370, Loss: 4.788e-02, Loss_u: 4.232e-02, Loss_r: 5.563e-03, Time: 0.05
It: 1380, Loss: 5.882e-02, Loss_u: 5.283e-02, Loss_r: 5.989e-03, Time: 0.05
It: 1390, Loss: 4.754e-02, Loss_u: 4.386e-02, Loss_r: 3.679e-03, Time: 0.05
It: 1400, Loss: 4.966e-02, Loss_u: 4.357e-02, Loss_r: 6.095e-03, Time: 0.05
It: 1410, Loss: 5.267e-02, Loss_u: 5.023e-02, Loss_r: 2.442e-03, Time: 0.05
It: 1420, Loss: 4.352e-02, Loss_u: 3.849e-02, Loss_r: 5.025e-03, Time: 0.07
It: 1430, Loss: 5.291e-02, Loss_u: 4.880e-02, Loss_r: 4.116e-03, Time: 0.05
It: 1440, Loss: 4.548e-02, Loss_u: 4.152e-02, Loss_r: 3.958e-03, Time: 0.05
It: 1450, Loss: 4.427e-02, Loss_u: 3.924e-02, Loss_r: 5.032e-03, Time: 0.06
It: 1460, Loss: 5.072e-02, Loss_u: 4.578e-02, Loss_r: 4.940e-03, Time: 0.05
It: 1470, Loss: 6.103e-02, Loss_u: 5.771e-02, Loss_r: 3.318e-03, Time: 0.06
It: 1480, Loss: 4.329e-02, Loss_u: 3.679e-02, Loss_r: 6.494e-03, Time: 0.05
It: 1490, Loss: 4.505e-02, Loss_u: 4.250e-02, Loss_r: 2.550e-03, Time: 0.06
It: 1500, Loss: 4.309e-02, Loss_u: 3.833e-02, Loss_r: 4.752e-03, Time: 0.06
It: 1510, Loss: 5.180e-02, Loss_u: 4.574e-02, Loss_r: 6.055e-03, Time: 0.05
It: 1520, Loss: 4.443e-02, Loss_u: 4.099e-02, Loss_r: 3.439e-03, Time: 0.06
It: 1530, Loss: 5.239e-02, Loss_u: 4.658e-02, Loss_r: 5.809e-03, Time: 0.06
It: 1540, Loss: 3.664e-02, Loss_u: 3.342e-02, Loss_r: 3.219e-03, Time: 0.05
It: 1550, Loss: 6.014e-02, Loss_u: 5.707e-02, Loss_r: 3.074e-03, Time: 0.05
It: 1560, Loss: 4.012e-02, Loss_u: 3.354e-02, Loss_r: 6.581e-03, Time: 0.05
It: 1570, Loss: 4.116e-02, Loss_u: 3.739e-02, Loss_r: 3.775e-03, Time: 0.05
It: 1580, Loss: 4.624e-02, Loss_u: 4.277e-02, Loss_r: 3.477e-03, Time: 0.05
It: 1590, Loss: 3.706e-02, Loss_u: 3.269e-02, Loss_r: 4.371e-03, Time: 0.05
It: 1600, Loss: 5.227e-02, Loss_u: 4.844e-02, Loss_r: 3.831e-03, Time: 0.06
It: 1610, Loss: 5.281e-02, Loss_u: 4.783e-02, Loss_r: 4.972e-03, Time: 0.06
It: 1620, Loss: 4.307e-02, Loss_u: 3.879e-02, Loss_r: 4.283e-03, Time: 0.07
It: 1630, Loss: 4.127e-02, Loss_u: 3.704e-02, Loss_r: 4.221e-03, Time: 0.06
It: 1640, Loss: 5.611e-02, Loss_u: 5.052e-02, Loss_r: 5.588e-03, Time: 0.06
It: 1650, Loss: 4.347e-02, Loss_u: 3.873e-02, Loss_r: 4.743e-03, Time: 0.05
It: 1660, Loss: 4.531e-02, Loss_u: 4.173e-02, Loss_r: 3.588e-03, Time: 0.06
It: 1670, Loss: 4.386e-02, Loss_u: 3.835e-02, Loss_r: 5.508e-03, Time: 0.05
It: 1680, Loss: 3.796e-02, Loss_u: 3.297e-02, Loss_r: 4.991e-03, Time: 0.06
It: 1690, Loss: 4.940e-02, Loss_u: 4.532e-02, Loss_r: 4.080e-03, Time: 0.08
It: 1700, Loss: 5.351e-02, Loss_u: 4.969e-02, Loss_r: 3.822e-03, Time: 0.06
It: 1710, Loss: 6.750e-02, Loss_u: 6.347e-02, Loss_r: 4.035e-03, Time: 0.05
It: 1720, Loss: 4.592e-02, Loss_u: 4.269e-02, Loss_r: 3.230e-03, Time: 0.06
It: 1730, Loss: 4.808e-02, Loss_u: 4.286e-02, Loss_r: 5.215e-03, Time: 0.07
It: 1740, Loss: 5.220e-02, Loss_u: 4.788e-02, Loss_r: 4.320e-03, Time: 0.05
It: 1750, Loss: 3.749e-02, Loss_u: 3.070e-02, Loss_r: 6.790e-03, Time: 0.06
It: 1760, Loss: 4.590e-02, Loss_u: 4.191e-02, Loss_r: 3.998e-03, Time: 0.06
It: 1770, Loss: 3.958e-02, Loss_u: 3.505e-02, Loss_r: 4.530e-03, Time: 0.06
It: 1780, Loss: 4.922e-02, Loss_u: 4.234e-02, Loss_r: 6.874e-03, Time: 0.05
It: 1790, Loss: 5.777e-02, Loss_u: 5.420e-02, Loss_r: 3.572e-03, Time: 0.05
It: 1800, Loss: 4.297e-02, Loss_u: 3.898e-02, Loss_r: 3.992e-03, Time: 0.05
It: 1810, Loss: 3.426e-02, Loss_u: 2.964e-02, Loss_r: 4.615e-03, Time: 0.07
It: 1820, Loss: 3.347e-02, Loss_u: 3.018e-02, Loss_r: 3.290e-03, Time: 0.07
It: 1830, Loss: 4.872e-02, Loss_u: 4.373e-02, Loss_r: 4.996e-03, Time: 0.05
It: 1840, Loss: 5.426e-02, Loss_u: 5.090e-02, Loss_r: 3.361e-03, Time: 0.05
It: 1850, Loss: 5.384e-02, Loss_u: 5.097e-02, Loss_r: 2.864e-03, Time: 0.05
It: 1860, Loss: 3.984e-02, Loss_u: 3.578e-02, Loss_r: 4.061e-03, Time: 0.06
It: 1870, Loss: 3.469e-02, Loss_u: 3.003e-02, Loss_r: 4.665e-03, Time: 0.08
It: 1880, Loss: 5.499e-02, Loss_u: 5.109e-02, Loss_r: 3.903e-03, Time: 0.05
It: 1890, Loss: 4.739e-02, Loss_u: 4.188e-02, Loss_r: 5.512e-03, Time: 0.05
It: 1900, Loss: 4.383e-02, Loss_u: 3.895e-02, Loss_r: 4.879e-03, Time: 0.06
It: 1910, Loss: 5.095e-02, Loss_u: 4.619e-02, Loss_r: 4.762e-03, Time: 0.13
It: 1920, Loss: 5.640e-02, Loss_u: 5.281e-02, Loss_r: 3.594e-03, Time: 0.05
It: 1930, Loss: 4.692e-02, Loss_u: 4.236e-02, Loss_r: 4.562e-03, Time: 0.09
It: 1940, Loss: 4.725e-02, Loss_u: 4.374e-02, Loss_r: 3.507e-03, Time: 0.08
It: 1950, Loss: 5.279e-02, Loss_u: 4.893e-02, Loss_r: 3.864e-03, Time: 0.05
It: 1960, Loss: 4.011e-02, Loss_u: 3.631e-02, Loss_r: 3.803e-03, Time: 0.06
It: 1970, Loss: 4.377e-02, Loss_u: 3.827e-02, Loss_r: 5.494e-03, Time: 0.07
It: 1980, Loss: 3.705e-02, Loss_u: 3.300e-02, Loss_r: 4.044e-03, Time: 0.08
It: 1990, Loss: 6.926e-02, Loss_u: 6.418e-02, Loss_r: 5.076e-03, Time: 0.10
It: 2000, Loss: 4.661e-02, Loss_u: 4.088e-02, Loss_r: 5.728e-03, Time: 0.07
It: 2010, Loss: 6.236e-02, Loss_u: 5.776e-02, Loss_r: 4.600e-03, Time: 0.06
It: 2020, Loss: 4.855e-02, Loss_u: 4.545e-02, Loss_r: 3.105e-03, Time: 0.05
It: 2030, Loss: 3.964e-02, Loss_u: 3.411e-02, Loss_r: 5.521e-03, Time: 0.05
It: 2040, Loss: 5.243e-02, Loss_u: 4.748e-02, Loss_r: 4.952e-03, Time: 0.05
It: 2050, Loss: 4.535e-02, Loss_u: 4.103e-02, Loss_r: 4.318e-03, Time: 0.05
It: 2060, Loss: 5.667e-02, Loss_u: 5.296e-02, Loss_r: 3.718e-03, Time: 0.05
It: 2070, Loss: 3.922e-02, Loss_u: 3.564e-02, Loss_r: 3.580e-03, Time: 0.07
It: 2080, Loss: 3.678e-02, Loss_u: 3.267e-02, Loss_r: 4.113e-03, Time: 0.05
It: 2090, Loss: 5.266e-02, Loss_u: 4.874e-02, Loss_r: 3.925e-03, Time: 0.09
It: 2100, Loss: 3.967e-02, Loss_u: 3.482e-02, Loss_r: 4.851e-03, Time: 0.08
It: 2110, Loss: 4.678e-02, Loss_u: 4.275e-02, Loss_r: 4.031e-03, Time: 0.07
It: 2120, Loss: 6.416e-02, Loss_u: 6.073e-02, Loss_r: 3.425e-03, Time: 0.06
It: 2130, Loss: 3.452e-02, Loss_u: 3.134e-02, Loss_r: 3.179e-03, Time: 0.05
It: 2140, Loss: 5.133e-02, Loss_u: 4.814e-02, Loss_r: 3.198e-03, Time: 0.05
It: 2150, Loss: 4.419e-02, Loss_u: 3.963e-02, Loss_r: 4.560e-03, Time: 0.05
It: 2160, Loss: 4.424e-02, Loss_u: 4.127e-02, Loss_r: 2.974e-03, Time: 0.05
It: 2170, Loss: 5.718e-02, Loss_u: 5.449e-02, Loss_r: 2.691e-03, Time: 0.06
It: 2180, Loss: 4.996e-02, Loss_u: 4.533e-02, Loss_r: 4.631e-03, Time: 0.05
It: 2190, Loss: 5.087e-02, Loss_u: 4.757e-02, Loss_r: 3.298e-03, Time: 0.06
It: 2200, Loss: 4.872e-02, Loss_u: 4.447e-02, Loss_r: 4.253e-03, Time: 0.06
